com.samsung.shealth.calories_burned.details,6211031,2
active_calories_goal,version,extra_data,com.samsung.shealth.calories_burned.tef_calorie,com.samsung.shealth.calories_burned.active_time,com.samsung.shealth.calories_burned.rest_calorie,com.samsung.shealth.calories_burned.update_time,com.samsung.shealth.calories_burned.create_time,com.samsung.shealth.calories_burned.active_calorie,com.samsung.shealth.calories_burned.deviceuuid,com.samsung.shealth.calories_burned.pkg_name,com.samsung.shealth.calories_burned.datauuid,com.samsung.shealth.calories_burned.day_time
,,ec23c1e8-dc6e-4d58-b7c2-88b2787d9fab.extra_data.json,0.0,2568348,1980.9222,2022-03-26 15:59:43.939,2022-03-26 15:59:01.554,199.67339,Idp7XEd6un,com.sec.android.app.shealth,ec23c1e8-dc6e-4d58-b7c2-88b2787d9fab,1646006400000,
,,acf2072b-eff3-462c-9e47-2219b614df3b.extra_data.json,0.0,4887283,1926.1265,2022-03-26 15:59:43.907,2022-03-26 15:59:01.543,401.5756,Idp7XEd6un,com.sec.android.app.shealth,acf2072b-eff3-462c-9e47-2219b614df3b,1645920000000,
,,499837b0-162b-408a-8ad8-3a08d930adf7.extra_data.json,0.0,2139880,1991.0469,2022-03-26 15:59:43.966,2022-03-26 15:59:01.565,165.16786,Idp7XEd6un,com.sec.android.app.shealth,499837b0-162b-408a-8ad8-3a08d930adf7,1646092800000,
,,fcefc91d-2142-4f86-bb68-d6d32269ffb5.extra_data.json,0.0,1763823,1999.933,2022-03-26 15:59:43.988,2022-03-26 15:59:01.579,156.58984,Idp7XEd6un,com.sec.android.app.shealth,fcefc91d-2142-4f86-bb68-d6d32269ffb5,1646179200000,
,,b8d3a446-b728-4622-a031-a0c1861106f8.extra_data.json,0.0,9142062,1825.5869,2022-03-26 15:59:44.160,2022-03-26 15:59:01.689,741.373,Idp7XEd6un,com.sec.android.app.shealth,b8d3a446-b728-4622-a031-a0c1861106f8,1647043200000,
,,e6ed5cdf-32d4-42b4-a337-46e4ceeaf7c6.extra_data.json,0.0,5812279,1904.2689,2022-03-26 15:59:44.124,2022-03-26 15:59:01.662,437.11996,Idp7XEd6un,com.sec.android.app.shealth,e6ed5cdf-32d4-42b4-a337-46e4ceeaf7c6,1646870400000,
,,a31e03ac-3aef-436d-98df-f0c88b8fe173.extra_data.json,0.0,6316595,1892.3522,2022-03-26 15:59:44.175,2022-03-26 15:59:01.708,535.42285,Idp7XEd6un,com.sec.android.app.shealth,a31e03ac-3aef-436d-98df-f0c88b8fe173,1647129600000,
,,4380afbc-cf2b-4cb5-a88c-71c2ef06f646.extra_data.json,0.0,4946909,1924.7174,2022-03-26 15:59:44.303,2022-03-26 15:59:01.763,377.17517,Idp7XEd6un,com.sec.android.app.shealth,4380afbc-cf2b-4cb5-a88c-71c2ef06f646,1647648000000,
,,23da176e-f5e7-422d-aeff-3be21dfcedd4.extra_data.json,0.0,13165640,1730.5107,2022-03-26 15:59:44.201,2022-03-26 15:59:01.717,1232.748,Idp7XEd6un,com.sec.android.app.shealth,23da176e-f5e7-422d-aeff-3be21dfcedd4,1647216000000,
,,8114c393-0a40-43ba-b125-028c01f65b5c.extra_data.json,0.0,4735609,1929.7104,2022-03-26 15:59:44.285,2022-03-26 15:59:01.756,382.6254,Idp7XEd6un,com.sec.android.app.shealth,8114c393-0a40-43ba-b125-028c01f65b5c,1647561600000,
,,abeb297b-9d8c-431e-aace-9b18ca55fa87.extra_data.json,0.0,6695721,1883.3934,2022-03-26 15:59:44.323,2022-03-26 15:59:01.779,553.12476,Idp7XEd6un,com.sec.android.app.shealth,abeb297b-9d8c-431e-aace-9b18ca55fa87,1647734400000,
,,84fd7225-e8e1-4716-aca9-b11921108753.extra_data.json,0.0,1999928,1994.3539,2022-03-26 15:59:44.382,2022-03-26 15:59:01.820,151.33891,Idp7XEd6un,com.sec.android.app.shealth,84fd7225-e8e1-4716-aca9-b11921108753,1647993600000,
,,41ee18eb-fb15-40d6-92c6-f50b2a87716b.extra_data.json,0.0,946042,2024.872,2021-01-13 02:18:45.117,2020-12-16 05:00:00.717,72.23508,Idp7XEd6un,com.sec.android.app.shealth,41ee18eb-fb15-40d6-92c6-f50b2a87716b,1608076800000,
