com.samsung.shealth.activity.day_summary,6211031,2
step_count,active_time,target,others_time,update_time,create_time,goal,longest_active_time,score,distance,calorie,extra_data,deviceuuid,run_time,pkg_name,walk_time,longest_idle_time,datauuid,day_time
3612,2406372,,0,2021-02-17 04:13:22.825,2021-02-16 05:00:00.927,60,60000,66,2876.7478,182.99936,cac59dbe-e105-4ebd-944b-2e2c1a6054ea.extra_data.json,Idp7XEd6un,1200,com.sec.android.app.shealth,2405172,29040000,cac59dbe-e105-4ebd-944b-2e2c1a6054ea,1613433600000,
4321,3031805,90,0,2021-11-06 13:22:02.872,2021-11-05 04:00:01.227,-1,1137280,55,3394.7153,234.21973,e994627f-078f-4bcc-9cb9-48d2574062d4.extra_data.json,Idp7XEd6un,24400,com.sec.android.app.shealth,3007405,25200000,e994627f-078f-4bcc-9cb9-48d2574062d4,1636070400000,
4788,3043056,90,0,2021-09-27 12:45:52.497,2021-09-08 04:00:01.011,60,1330918,55,3765.755,239.61284,b52979c3-2c02-40dc-9b29-a05f29736377.extra_data.json,Idp7XEd6un,3600,com.sec.android.app.shealth,3039456,28800000,b52979c3-2c02-40dc-9b29-a05f29736377,1631059200000,
9916,6619943,,0,2020-11-27 15:08:05.401,2020-11-26 05:00:00.710,60,1418560,183,7905.9043,488.66458,f5245afd-8994-49ff-a6a2-5a78fa1bbb56.extra_data.json,Idp7XEd6un,13600,com.sec.android.app.shealth,6606343,32640000,f5245afd-8994-49ff-a6a2-5a78fa1bbb56,1606348800000,
5849,3820036,,0,2020-11-03 13:36:02.362,2020-11-02 05:00:00.687,60,180000,105,4688.674,296.7792,20bab733-50d7-46d3-868f-d7b0a210e726.extra_data.json,Idp7XEd6un,6400,com.sec.android.app.shealth,3813636,30900000,20bab733-50d7-46d3-868f-d7b0a210e726,1604275200000,
6434,4155341,,0,2021-08-30 12:37:26.064,2021-08-29 04:00:00.363,60,120000,113,5192.788,340.64398,427d0616-774b-4e4b-b57e-5e154a90429e.extra_data.json,Idp7XEd6un,92401,com.sec.android.app.shealth,4062940,32160000,427d0616-774b-4e4b-b57e-5e154a90429e,1630195200000,
2654,1752709,,0,2020-12-09 03:25:16.888,2020-12-08 05:00:00.476,60,60000,48,2154.9075,136.76991,93731031-b7e7-460e-b0e1-2cb167f0cab3.extra_data.json,Idp7XEd6un,7200,com.sec.android.app.shealth,1745509,28320000,93731031-b7e7-460e-b0e1-2cb167f0cab3,1607385600000,
856,568549,,0,2020-10-30 13:14:01.724,2020-10-30 13:13:26.651,-1,38019,0,668.74,31.079998,8dbfd472-fd27-48d8-99ea-63a08cf22a4d.extra_data.json,Idp7XEd6un,3600,com.sec.android.app.shealth,564949,68100000,8dbfd472-fd27-48d8-99ea-63a08cf22a4d,1603324800000,
8460,5940556,,0,2021-07-15 17:51:46.019,2021-07-14 04:00:01.088,60,1589960,163,6803.8657,447.4188,eda90a1c-5d6a-43be-9653-4a8f8ebf329b.extra_data.json,Idp7XEd6un,12400,com.sec.android.app.shealth,5928156,30780000,eda90a1c-5d6a-43be-9653-4a8f8ebf329b,1626220800000,
2125,1374061,,0,2021-02-20 14:41:41.571,2021-02-18 05:00:00.431,60,300000,36,1705.7362,109.13991,0d8c2280-a672-420d-a28d-87ed8e85b1ee.extra_data.json,Idp7XEd6un,4800,com.sec.android.app.shealth,1369261,29940000,0d8c2280-a672-420d-a28d-87ed8e85b1ee,1613606400000,
3522,2345436,,0,2020-11-18 12:54:52.069,2020-11-17 05:00:00.321,60,60000,63,2803.6643,178.45229,9253d755-77b3-4ba4-8112-b68c0415be82.extra_data.json,Idp7XEd6un,5600,com.sec.android.app.shealth,2339836,28800000,9253d755-77b3-4ba4-8112-b68c0415be82,1605571200000,
10073,6539985,,0,2021-03-16 04:42:57.627,2021-03-15 07:00:00.725,60,540000,180,7904.6016,504.51697,d4773015-78bb-4ebe-8c44-37e1407de4f5.extra_data.json,Idp7XEd6un,18463,com.sec.android.app.shealth,6521522,29040000,d4773015-78bb-4ebe-8c44-37e1407de4f5,1615766400000,
3854,2528097,,0,2021-02-09 03:02:17.623,2021-02-08 05:00:00.571,60,120000,68,3117.2217,198.38847,374dc55c-448a-44e5-8cff-a3c74c3b3723.extra_data.json,Idp7XEd6un,19600,com.sec.android.app.shealth,2508497,30780000,374dc55c-448a-44e5-8cff-a3c74c3b3723,1612742400000,
13727,8967937,,0,2021-06-28 13:52:39.300,2021-06-27 04:00:00.535,60,240000,248,11130.774,726.0594,7cd9cfec-2735-450d-a512-f62fbb056b10.extra_data.json,Idp7XEd6un,130000,com.sec.android.app.shealth,8837937,33240000,7cd9cfec-2735-450d-a512-f62fbb056b10,1624752000000,
4659,2991387,90,0,2021-12-17 13:33:33.654,2021-12-16 05:00:00.802,-1,632080,54,3662.4036,252.85944,d5914e57-e077-42b3-bb8b-5f378b8087db.extra_data.json,Idp7XEd6un,400,com.sec.android.app.shealth,2990987,30000000,d5914e57-e077-42b3-bb8b-5f378b8087db,1639612800000,
