com.samsung.shealth.tracker.pedometer_step_count,6211031,2
duration,version_code,run_step,walk_step,com.samsung.health.step_count.start_time,com.samsung.health.step_count.sample_position_type,com.samsung.health.step_count.custom,com.samsung.health.step_count.update_time,com.samsung.health.step_count.create_time,com.samsung.health.step_count.count,com.samsung.health.step_count.speed,com.samsung.health.step_count.distance,com.samsung.health.step_count.calorie,com.samsung.health.step_count.time_offset,com.samsung.health.step_count.deviceuuid,com.samsung.health.step_count.pkg_name,com.samsung.health.step_count.end_time,com.samsung.health.step_count.datauuid
32185,4,0,52,2022-02-13 21:26:00.000,,,2022-02-13 21:26:59.803,2022-02-13 21:26:00.497,52,1.2455053,40.08728,2.5925674,UTC-0500,Idp7XEd6un,com.sec.android.app.shealth,2022-02-13 21:27:00.000,475e4c4e-304c-4ba0-b9bd-a8cdf25ec5d9,
23959,4,0,41,2022-03-26 15:58:00.000,230002,,2022-03-26 15:58:47.733,2022-03-26 15:58:46.268,41,1.3193071,31.61,2.04,UTC-0400,j9zBUHWfhn,com.sec.android.app.shealth,2022-03-26 15:58:59.999,d7556381-5ac5-6671-dafb-357a25e1ba0d,
3127,4,0,6,2022-02-14 02:53:00.000,,,2022-02-14 02:53:01.723,2022-02-14 02:53:01.723,6,1.5736294,4.9208984,0.2922058,UTC-0500,Idp7XEd6un,com.sec.android.app.shealth,2022-02-14 02:54:00.000,3bb533a0-a67c-47e2-83c7-e66d8deb7c0f,
11600,4,0,19,2022-02-14 17:46:00.000,230002,,2022-02-14 17:47:36.780,2022-02-14 17:47:36.780,19,1.25,14.5,0.92,UTC-0500,j9zBUHWfhn,com.sec.android.app.shealth,2022-02-14 17:46:59.999,f5c8ba5d-ac5c-0354-1f7f-ad49b4b0d272,
11216,4,0,14,2022-02-15 17:50:00.000,,,2022-02-15 17:50:43.883,2022-02-15 17:50:43.883,14,0.93335617,10.469238,0.7163696,UTC-0500,Idp7XEd6un,com.sec.android.app.shealth,2022-02-15 17:51:00.000,dc9c23fa-1fb7-4d17-98de-5def9c45cbeb,
5246,4,0,8,2022-02-14 13:30:00.000,,,2022-02-14 13:30:16.251,2022-02-14 13:30:14.065,8,1.14558,6.010254,0.40634155,UTC-0500,Idp7XEd6un,com.sec.android.app.shealth,2022-02-14 13:31:00.000,055ab0ac-1feb-4fb1-8ab9-00bd4d0922f8,
37633,4,0,62,2022-02-14 13:29:00.000,,,2022-02-14 13:29:58.938,2022-02-14 13:29:50.227,62,1.2292961,46.263184,3.1707458,UTC-0500,Idp7XEd6un,com.sec.android.app.shealth,2022-02-14 13:30:00.000,199200ef-2847-4b40-b2b8-7fcfe0ef59f8,
6941,4,0,7,2022-02-13 18:57:00.000,,,2022-02-13 18:57:21.108,2022-02-13 18:57:21.108,7,0.7547411,5.2392426,0.35675287,UTC-0500,Idp7XEd6un,com.sec.android.app.shealth,2022-02-13 18:58:00.000,c3014d80-5518-4e77-b4f2-2161b118a660,
20200,4,0,33,2022-02-13 22:21:00.000,230002,,2022-02-13 22:22:27.223,2022-02-13 22:22:27.223,33,1.2222222,24.69,1.66,UTC-0500,j9zBUHWfhn,com.sec.android.app.shealth,2022-02-13 22:21:59.999,137427dd-96e3-d36a-2434-2609726537d0,
22350,4,0,38,2022-02-15 17:06:00.000,230002,,2022-02-15 17:07:10.334,2022-02-15 17:07:10.333,38,1.3055556,29.18,1.84,UTC-0500,j9zBUHWfhn,com.sec.android.app.shealth,2022-02-15 17:06:59.999,fa85d254-02b6-15f1-64d2-1790cc3a4874,
16238,4,0,35,2022-02-15 02:30:00.000,230002,,2022-02-15 02:35:06.115,2022-02-15 02:30:48.290,35,1.4551477,23.63,2.77,UTC-0500,j9zBUHWfhn,com.sec.android.app.shealth,2022-02-15 02:30:59.999,2701955e-6b3c-7ab4-0650-25d49c40ed5b,
45791,4,0,77,2022-02-14 23:33:00.000,,,2022-02-14 23:34:17.358,2022-02-14 23:33:29.950,77,1.3006269,59.557617,3.8265991,UTC-0500,Idp7XEd6un,com.sec.android.app.shealth,2022-02-14 23:34:00.000,1cad9cb4-7aa5-4448-a4e9-5969a3d21135,
30607,4,0,54,2022-02-13 21:13:00.000,230002,,2022-02-13 21:15:07.182,2022-02-13 21:15:07.182,54,1.3888888,42.51,2.7,UTC-0500,j9zBUHWfhn,com.sec.android.app.shealth,2022-02-13 21:13:59.999,690ccda0-3e6a-79c2-7750-ef92e3b43255,
35128,4,0,62,2022-02-13 22:19:00.000,230002,,2022-02-13 22:22:27.209,2022-02-13 22:22:27.209,62,1.3888888,48.79,3.04,UTC-0500,j9zBUHWfhn,com.sec.android.app.shealth,2022-02-13 22:19:59.999,83cc4229-c97f-3333-036d-bc1a8cd21288,
5960,4,0,11,2022-02-13 23:55:00.000,230002,,2022-02-13 23:55:28.993,2022-02-13 23:55:28.656,11,1.4495397,8.64,0.54,UTC-0500,j9zBUHWfhn,com.sec.android.app.shealth,2022-02-13 23:55:59.999,7bf2890f-cac3-9e1b-f03c-ff3c0c169765,
12736,4,0,17,2022-02-15 13:12:00.000,,,2022-02-15 13:12:52.312,2022-02-15 13:12:13.341,17,1.0181243,12.967773,0.85601807,UTC-0500,Idp7XEd6un,com.sec.android.app.shealth,2022-02-15 13:13:00.000,4c1c302a-0cd9-4767-97e2-d2f071ab3aba,
