com.samsung.shealth.tracker.pedometer_day_summary,6211031,5
step_count,binning_data,active_time,recommendation,run_step_count,update_time,source_package_name,create_time,source_info,speed,distance,calorie,walk_step_count,deviceuuid,pkg_name,healthy_step,achievement,datauuid,day_time
5365,5a75ee2c-314e-4f1e-a048-6a0a901549e5.binning_data.json,2819368,6000,383,2020-12-08 05:00:04.532,com.sec.android.app.shealth,2020-12-08 05:00:04.532,,1.5618633,4403.4683,293.4542,4982,j9zBUHWfhn,com.sec.android.app.shealth,0,5a75ee2c-314e-4f1e-a048-6a0a901549e5.achievement.json,5a75ee2c-314e-4f1e-a048-6a0a901549e5,1607299200000,
4388,9d61931f-36fd-4fd9-bb90-824c0344f26d.binning_data.json,2720385,8000,0,2021-02-02 05:00:02.120,com.sec.android.app.shealth,2021-02-02 05:00:02.120,,1.251368,3404.2031,218.91693,4388,Idp7XEd6un,com.sec.android.app.shealth,0,9d61931f-36fd-4fd9-bb90-824c0344f26d.achievement.json,9d61931f-36fd-4fd9-bb90-824c0344f26d,1612137600000,
3112,654ea2f5-464a-453d-8107-a5d799e97ae2.binning_data.json,1770626,8000,155,2021-05-27 04:00:01.730,com.sec.android.app.shealth,2021-05-27 04:00:01.730,,1.4170711,2509.1035,163.73926,2957,Idp7XEd6un,com.sec.android.app.shealth,0,654ea2f5-464a-453d-8107-a5d799e97ae2.achievement.json,654ea2f5-464a-453d-8107-a5d799e97ae2,1621987200000,
4426,d39d63e5-a4d6-4ab2-a0a1-ab3d65324fff.binning_data.json,2482963,6000,47,2020-10-31 04:00:02.340,com.sec.android.app.shealth,2020-10-31 04:00:02.340,,1.3458676,3341.74,159.04,4379,j9zBUHWfhn,com.sec.android.app.shealth,0,d39d63e5-a4d6-4ab2-a0a1-ab3d65324fff.achievement.json,d39d63e5-a4d6-4ab2-a0a1-ab3d65324fff,1603584000000,
1203,40813fa5-0c59-4a1d-8522-70780eb22fd0.binning_data.json,753049,8000,0,2021-06-09 04:00:01.832,com.sec.android.app.shealth,2021-06-09 04:00:01.832,,1.2380048,932.2783,60.043503,1203,Idp7XEd6un,com.sec.android.app.shealth,0,40813fa5-0c59-4a1d-8522-70780eb22fd0.achievement.json,40813fa5-0c59-4a1d-8522-70780eb22fd0,1623110400000,
10593,a1130947-2569-4356-b43a-7c3bc4a476a0.binning_data.json,5835078,8000,28,2020-12-14 05:00:07.326,com.sec.android.app.shealth,2020-12-10 12:30:19.004,a1130947-2569-4356-b43a-7c3bc4a476a0.source_info.json,1.4522836,8474.189,534.3361,10565,VfS0qUERdZ,com.sec.android.app.shealth,0,a1130947-2569-4356-b43a-7c3bc4a476a0.achievement.json,a1130947-2569-4356-b43a-7c3bc4a476a0,1607558400000,
3026,ccbae17a-20b7-4ee9-b486-48bc9f1032d1.binning_data.json,1814019,8000,0,2021-05-05 04:00:01.912,com.sec.android.app.shealth,2021-05-05 04:00:01.912,,1.304495,2366.379,149.75732,3026,Idp7XEd6un,com.sec.android.app.shealth,0,ccbae17a-20b7-4ee9-b486-48bc9f1032d1.achievement.json,ccbae17a-20b7-4ee9-b486-48bc9f1032d1,1620086400000,
201,b24d2ca5-198b-42f0-9b29-3c8d92ef1bfe.binning_data.json,157328,8000,0,2021-05-11 04:00:02.092,com.sec.android.app.shealth,2021-05-11 04:00:02.092,,0.99541456,156.60693,10.025513,201,Idp7XEd6un,com.sec.android.app.shealth,0,b24d2ca5-198b-42f0-9b29-3c8d92ef1bfe.achievement.json,b24d2ca5-198b-42f0-9b29-3c8d92ef1bfe,1620604800000,
5422,8c54a240-0059-4157-9d74-2bf5cbb8f663.binning_data.json,2915435,8000,95,2021-06-04 12:43:47.001,com.sec.android.app.shealth,2021-06-03 12:27:56.213,8c54a240-0059-4157-9d74-2bf5cbb8f663.source_info.json,1.5113344,4406.198,280.26523,5327,VfS0qUERdZ,com.sec.android.app.shealth,0,8c54a240-0059-4157-9d74-2bf5cbb8f663.achievement.json,8c54a240-0059-4157-9d74-2bf5cbb8f663,1622678400000,
9173,493e2d68-85e6-45fe-abda-b1967c309be8.binning_data.json,4821445,6000,28,2020-11-13 05:00:04.744,com.sec.android.app.shealth,2020-11-12 05:00:05.142,,1.5396459,7423.318,463.04776,9145,j9zBUHWfhn,com.sec.android.app.shealth,0,493e2d68-85e6-45fe-abda-b1967c309be8.achievement.json,493e2d68-85e6-45fe-abda-b1967c309be8,1605052800000,
