com.samsung.shealth.step_daily_trend,6211031,6
binning_data,update_time,create_time,source_pkg_name,source_type,count,speed,distance,calorie,deviceuuid,pkg_name,datauuid,day_time
b5c8ff8d-8a5c-4163-b68d-68bef12d1468.binning_data.json,2022-03-26 15:59:47.952,2022-03-26 15:59:47.952,com.sec.android.app.shealth,0,2815,1.304527,2209.3184,140.06339,Idp7XEd6un,com.sec.android.app.shealth,b5c8ff8d-8a5c-4163-b68d-68bef12d1468,1604275200000,
a534c084-7ac4-4b82-bdd9-939d42088c66.binning_data.json,2022-03-26 15:59:47.940,2022-03-26 15:59:47.940,com.sec.android.app.shealth,0,4567,1.2996577,3568.666,226.40303,Idp7XEd6un,com.sec.android.app.shealth,a534c084-7ac4-4b82-bdd9-939d42088c66,1604016000000,
c9071e8c-4a47-4382-9444-38a6f10481f6.binning_data.json,2022-03-26 15:59:47.953,2022-03-26 15:59:47.953,com.sec.android.app.shealth,0,1576,1.2883499,1232.3574,78.1145,Idp7XEd6un,com.sec.android.app.shealth,c9071e8c-4a47-4382-9444-38a6f10481f6,1604448000000,
b35cd1a4-7249-4fba-9507-99f5cd8bcc26.binning_data.json,2022-03-26 15:59:47.951,2022-03-26 15:59:47.951,com.sec.android.app.shealth,0,3267,1.443432,2715.607,187.44054,Idp7XEd6un,com.sec.android.app.shealth,b35cd1a4-7249-4fba-9507-99f5cd8bcc26,1604102400000,
af8d4ed5-a2c4-4a31-bbc4-8b976c993d19.binning_data.json,2022-03-26 15:59:47.951,2022-03-26 15:59:47.951,com.sec.android.app.shealth,0,5134,1.2632998,4007.2705,259.10098,Idp7XEd6un,com.sec.android.app.shealth,af8d4ed5-a2c4-4a31-bbc4-8b976c993d19,1604188800000,
7ca67781-a925-499b-8f4c-071d49bc229b.binning_data.json,2022-03-26 15:59:47.956,2022-03-26 15:59:47.956,com.sec.android.app.shealth,0,6613,1.2377405,5120.783,329.50208,Idp7XEd6un,com.sec.android.app.shealth,7ca67781-a925-499b-8f4c-071d49bc229b,1604793600000,
bf80e6a7-d469-47ca-8aac-c8b2016c59f2.binning_data.json,2022-03-26 15:59:47.953,2022-03-26 15:59:47.953,com.sec.android.app.shealth,0,3366,1.3127983,2644.3857,166.54944,Idp7XEd6un,com.sec.android.app.shealth,bf80e6a7-d469-47ca-8aac-c8b2016c59f2,1604361600000,
a23ba8fe-dfb2-476a-ba6c-b5a5c276ae76.binning_data.json,2022-03-26 15:59:47.954,2022-03-26 15:59:47.954,com.sec.android.app.shealth,0,8301,1.3315759,6520.354,412.4933,Idp7XEd6un,com.sec.android.app.shealth,a23ba8fe-dfb2-476a-ba6c-b5a5c276ae76,1604534400000,
5fa5e503-5b2e-4d47-b30a-427e4af802f7.binning_data.json,2022-03-26 15:59:47.957,2022-03-26 15:59:47.957,com.sec.android.app.shealth,0,5413,1.3990417,4293.9727,267.64178,Idp7XEd6un,com.sec.android.app.shealth,5fa5e503-5b2e-4d47-b30a-427e4af802f7,1604966400000,
ee2374cb-6701-4e6d-81b2-8b9ffb903b3b.binning_data.json,2022-03-26 15:59:47.955,2022-03-26 15:59:47.955,com.sec.android.app.shealth,0,2343,1.4030328,1859.0093,115.28992,Idp7XEd6un,com.sec.android.app.shealth,ee2374cb-6701-4e6d-81b2-8b9ffb903b3b,1604620800000,
