com.samsung.shealth.stand_day_summary,6211031,1
stand_time,update_time,create_time,deviceuuid,pkg_name,datauuid,day_time
1122304,2022-01-17 01:37:12.246,2022-01-16 14:33:33.535,j9zBUHWfhn,com.sec.android.app.shealth,f7aecefe-491f-8cef-df5d-033ad5b5c922,1642291200000,
4490240,2021-05-29 02:06:43.231,2021-05-28 12:25:53.242,j9zBUHWfhn,com.sec.android.app.shealth,e2772711-e909-5684-eacb-22a026ea4c27,1622160000000,
3145728,2021-09-11 01:42:27.231,2021-09-10 21:27:58.261,j9zBUHWfhn,com.sec.android.app.shealth,822ba0f1-b34f-1eb4-a378-c212a05f2dee,1631232000000,
2367488,2020-12-07 02:37:39.525,2020-12-06 17:01:42.205,j9zBUHWfhn,com.sec.android.app.shealth,308a45a4-92da-aede-cf67-464093e7e177,1607212800000,
165888,2021-01-07 22:05:10.256,2021-01-07 12:42:27.133,j9zBUHWfhn,com.sec.android.app.shealth,8ffba2b2-18c0-31cb-bc4d-83d05530dea1,1609977600000,
9046016,2021-04-12 03:17:06.249,2021-04-11 13:23:23.440,j9zBUHWfhn,com.sec.android.app.shealth,fc7eb370-8a77-c117-e605-7397678fa39d,1618099200000,
5327872,2021-01-23 03:36:26.234,2021-01-22 13:32:34.229,j9zBUHWfhn,com.sec.android.app.shealth,d1eccf75-309b-e986-aeeb-a7ea8c7dff06,1611273600000,
4755456,2021-01-26 03:21:12.234,2021-01-25 13:33:43.368,j9zBUHWfhn,com.sec.android.app.shealth,14d9d628-ff67-0022-911d-62e7770f47a9,1611532800000,
0,2021-02-11 13:18:44.858,2021-02-11 13:18:44.854,j9zBUHWfhn,com.sec.android.app.shealth,e957822a-c87f-fe16-08c8-6c25602354f1,1613001600000,
1314816,2021-02-13 01:03:18.256,2021-02-12 13:30:09.251,j9zBUHWfhn,com.sec.android.app.shealth,90d63e61-45f4-350f-1412-ed9bd37b5171,1613088000000,
807936,2020-11-26 00:28:55.295,2020-11-25 13:00:28.715,j9zBUHWfhn,com.sec.android.app.shealth,88ca5871-20d6-64f5-4033-ad93fd4f395b,1606262400000,
5969920,2021-02-22 03:14:23.243,2021-02-21 14:21:51.348,j9zBUHWfhn,com.sec.android.app.shealth,f0ee0c44-1764-5734-8925-9695d3b6c4ae,1613865600000,
1220608,2021-08-20 00:24:44.243,2021-08-19 12:38:50.565,j9zBUHWfhn,com.sec.android.app.shealth,5f3168e3-bbf5-81ba-ac4c-5b333807e9fb,1629331200000,
267264,2021-02-24 23:36:08.280,2021-02-24 13:32:39.159,j9zBUHWfhn,com.sec.android.app.shealth,c7a767f5-4046-d596-5c1c-157c3f6af343,1614124800000,
