com.samsung.shealth.activity.goal,6211031,1
update_time,create_time,value,time_offset,deviceuuid,pkg_name,set_time,datauuid
2021-03-18 16:55:15.136,2021-03-18 16:55:15.136,60,UTC-0600,Idp7XEd6un,com.sec.android.app.shealth,1616086515133,f97cbb60-c949-4585-a93a-4aad37416fbe,
2021-03-14 13:01:42.222,2021-03-14 13:01:42.222,60,UTC-0700,Idp7XEd6un,com.sec.android.app.shealth,1615726902221,7f5b18d8-26c7-4017-bf2f-42ebfe38d78c,
2021-03-17 02:43:46.860,2021-03-17 02:43:46.860,60,UTC-0700,Idp7XEd6un,com.sec.android.app.shealth,1615949026817,600d55f2-b064-49ed-96a8-573c1a23384b,
2021-03-18 15:40:01.077,2021-03-18 15:40:01.077,60,UTC-0600,Idp7XEd6un,com.sec.android.app.shealth,1616082001076,0b1d1edd-381e-46ab-9f67-383a44589c7a,
2020-11-01 13:31:53.701,2020-11-01 13:31:53.701,60,UTC-0500,Idp7XEd6un,com.sec.android.app.shealth,1604237513699,335d839e-f632-4a4d-a554-354e523938ac,
2021-03-18 17:00:49.164,2021-03-18 17:00:49.164,60,UTC-0600,Idp7XEd6un,com.sec.android.app.shealth,1616086849154,f96a220f-7796-41b9-a299-8d9680841b02,
2021-03-17 01:36:37.472,2021-03-17 01:36:37.472,60,UTC-0700,Idp7XEd6un,com.sec.android.app.shealth,1615944997459,4cc48736-c254-4e02-8647-70056f062c9a,
2021-03-15 18:01:41.229,2021-03-15 18:01:41.229,60,UTC-0600,Idp7XEd6un,com.sec.android.app.shealth,1615831301226,61d33c42-f7c9-4d58-bd06-f0f472ee83d8,
2021-03-18 16:25:35.979,2021-03-18 16:25:35.979,60,UTC-0600,Idp7XEd6un,com.sec.android.app.shealth,1616084735975,fd68ccb0-8146-4365-bac6-33cd55eb5f03,
2021-03-18 15:40:57.828,2021-03-18 15:40:57.828,60,UTC-0700,Idp7XEd6un,com.sec.android.app.shealth,1616082057827,15da62a1-7c7f-44ce-b1ce-c5dafa5151c2,
2021-03-17 02:42:37.352,2021-03-17 02:42:37.352,60,UTC-0600,Idp7XEd6un,com.sec.android.app.shealth,1615948957332,a4fbcb62-f551-44a1-8790-d6eed306f647,
2021-03-15 18:02:45.614,2021-03-15 18:02:45.614,60,UTC-0700,Idp7XEd6un,com.sec.android.app.shealth,1615831365611,02d26eeb-12f4-4184-ae30-0dc680a7cc16,
2021-03-17 01:38:47.790,2021-03-17 01:38:47.790,60,UTC-0600,Idp7XEd6un,com.sec.android.app.shealth,1615945127768,d4a7e791-b774-4c52-9617-19d739264ff4,
2021-03-17 01:45:15.482,2021-03-17 01:45:15.482,60,UTC-0600,Idp7XEd6un,com.sec.android.app.shealth,1615945515464,fca8d116-06cb-4beb-8000-39d712fc7d7c,
