com.samsung.shealth.exercise,6211031,11
live_data_internal,mission_value,subset_data,total_calorie,completion_status,pace_info_id,pace_live_data,sensing_status,source_type,mission_type,tracking_status,program_id,reward_status,heart_rate_sample_count,mission_extra_value,program_schedule_id,heart_rate_deviceuuid,location_data_internal,additional_internal,com.samsung.health.exercise.duration,com.samsung.health.exercise.additional,com.samsung.health.exercise.mean_caloricburn_rate,com.samsung.health.exercise.location_data,com.samsung.health.exercise.start_time,com.samsung.health.exercise.exercise_type,com.samsung.health.exercise.custom,com.samsung.health.exercise.max_altitude,com.samsung.health.exercise.incline_distance,com.samsung.health.exercise.mean_heart_rate,com.samsung.health.exercise.count_type,com.samsung.health.exercise.mean_rpm,com.samsung.health.exercise.min_altitude,com.samsung.health.exercise.max_heart_rate,com.samsung.health.exercise.update_time,com.samsung.health.exercise.create_time,com.samsung.health.exercise.max_power,com.samsung.health.exercise.max_speed,com.samsung.health.exercise.mean_cadence,com.samsung.health.exercise.min_heart_rate,com.samsung.health.exercise.count,com.samsung.health.exercise.distance,com.samsung.health.exercise.max_caloricburn_rate,com.samsung.health.exercise.calorie,com.samsung.health.exercise.max_cadence,com.samsung.health.exercise.decline_distance,com.samsung.health.exercise.vo2_max,com.samsung.health.exercise.time_offset,com.samsung.health.exercise.deviceuuid,com.samsung.health.exercise.max_rpm,com.samsung.health.exercise.comment,com.samsung.health.exercise.live_data,com.samsung.health.exercise.mean_power,com.samsung.health.exercise.mean_speed,com.samsung.health.exercise.pkg_name,com.samsung.health.exercise.altitude_gain,com.samsung.health.exercise.altitude_loss,com.samsung.health.exercise.exercise_custom_type,com.samsung.health.exercise.end_time,com.samsung.health.exercise.datauuid,com.samsung.health.exercise.sweat_loss
,0,,53.0,0,,,,4,0,,,0,,0.0,,,,,720440,,,,2021-05-09 15:30:46.440,1001,,,,,30001,,,,2021-05-09 15:43:50.460,2021-05-09 15:43:50.460,,2.1666667,,,1011,795.69,,53.0,,,,UTC-0400,j9zBUHWfhn,,,baa6ba62-43bc-ba0d-70e5-d9553bd5e107.com.samsung.health.exercise.live_data.json,,1.4794296,com.sec.android.app.shealth,,,,2021-05-09 15:42:46.880,baa6ba62-43bc-ba0d-70e5-d9553bd5e107,,
d4d80a01-b0e3-b820-f4c7-2f2c6de80aa2.live_data_internal.json,0,,218.0,0,,,,4,0,,,0,81,0.0,,,,,1555240,,,,2021-12-05 15:15:50.740,0,,,,127.0,,,,134.0,2021-12-05 15:42:50.678,2021-12-05 15:42:50.678,,,,118.0,,,,218.0,,,,UTC-0500,j9zBUHWfhn,,,d4d80a01-b0e3-b820-f4c7-2f2c6de80aa2.com.samsung.health.exercise.live_data.json,,,com.sec.android.app.shealth,,,,2021-12-05 15:41:45.980,d4d80a01-b0e3-b820-f4c7-2f2c6de80aa2,,
161fbf9d-05f5-12d5-abca-097b998a3fe2.live_data_internal.json,0,,102.0,0,,,,4,0,,,0,59,0.0,,,,,903060,,,,2021-12-23 20:07:14.280,1001,,,,98.0,30001,,,108.0,2021-12-23 20:23:51.572,2021-12-23 20:23:51.572,,2.030756,,82.0,1230,983.9414,,102.0,,,,UTC-0500,j9zBUHWfhn,,,161fbf9d-05f5-12d5-abca-097b998a3fe2.com.samsung.health.exercise.live_data.json,,1.4571009,com.sec.android.app.shealth,,,,2021-12-23 20:22:17.340,161fbf9d-05f5-12d5-abca-097b998a3fe2,,
,0,,77.0,0,,,,4,0,,,0,,0.0,,,,,1429240,,,52cf7f48-10cc-0f13-0ec4-6e8080f37ecd.com.samsung.health.exercise.location_data.json,2020-10-21 16:22:14.920,1001,,,,,30001,,,,2020-10-21 16:47:07.730,2020-10-21 16:47:07.730,,1.4413333,,,2343,1740.68,,77.0,,,,UTC-0400,j9zBUHWfhn,,,52cf7f48-10cc-0f13-0ec4-6e8080f37ecd.com.samsung.health.exercise.live_data.json,,1.3024576,com.sec.android.app.shealth,,,,2020-10-21 16:46:04.160,52cf7f48-10cc-0f13-0ec4-6e8080f37ecd,,
,0,,53.0,0,,,,4,0,,,0,,0.0,,,,,684580,,,,2021-08-20 23:09:43.240,0,,,,,,,,,2021-08-20 23:22:12.269,2021-08-20 23:22:12.269,,,,,,,,53.0,,,,UTC-0400,j9zBUHWfhn,,,,,,com.sec.android.app.shealth,,,,2021-08-20 23:21:07.820,69147239-e6bf-0481-361c-032a44a7269b,,
,0,,281.49,0,,,,4,0,,,0,,0.0,,,,,1109920,,,,2021-08-18 21:48:45.048,11007,,,,,,,,,2021-08-18 22:09:33.222,2021-08-18 22:09:33.222,,,,,,,,281.49,,,,UTC-0400,j9zBUHWfhn,,,,,,com.sec.android.app.shealth,,,,2021-08-18 22:07:14.968,d12d7b17-e0f6-8061-6f7d-7177cf4e8f70,,
,0,,74.0,0,,,,4,0,,,0,,0.0,,,,,1158120,,,b929709c-0cce-1852-3f1c-6e1c9fb8d056.com.samsung.health.exercise.location_data.json,2020-11-14 20:50:59.940,1001,,,,,30001,,,,2020-11-14 21:11:18.545,2020-11-14 21:11:18.545,,2.1249895,,,1436,1187.45,,74.0,,,,UTC-0500,j9zBUHWfhn,,,b929709c-0cce-1852-3f1c-6e1c9fb8d056.com.samsung.health.exercise.live_data.json,,1.6686451,com.sec.android.app.shealth,,,,2020-11-14 21:10:18.060,b929709c-0cce-1852-3f1c-6e1c9fb8d056,,
,0,,85.0,0,,,,4,0,,,0,,0.0,,,,,871520,,,,2021-04-09 00:30:24.820,0,,,,,,,,,2021-04-09 00:46:01.258,2021-04-09 00:46:01.258,,,,,,,,85.0,,,,UTC-0400,j9zBUHWfhn,,,,,,com.sec.android.app.shealth,,,,2021-04-09 00:44:56.340,00eba30d-b066-f06f-3b0e-07e81fb627df,,
,0,,96.0,0,,,,4,0,,,0,,0.0,,,,,1211660,,,,2021-04-20 22:12:32.720,1001,,,,,30001,,,,2021-04-20 22:33:46.318,2021-04-20 22:33:46.318,,1.673995,,,1803,1426.9886,,96.0,,,,UTC-0400,j9zBUHWfhn,,,a89987e0-c753-e257-b3a5-48954a474d5d.com.samsung.health.exercise.live_data.json,,1.4524304,com.sec.android.app.shealth,,,,2021-04-20 22:32:44.380,a89987e0-c753-e257-b3a5-48954a474d5d,,
,0,,153.0,0,,,,4,0,,,0,,0.0,,,,,2651400,,,d6f42d1d-a9a6-c13c-f631-67aa00cfd7ff.com.samsung.health.exercise.location_data.json,2020-11-14 16:55:04.360,1001,,,,,30001,,,,2020-11-14 17:40:18.349,2020-11-14 17:40:18.349,,2.3055556,,,2516,2029.79,,153.0,,,,UTC-0500,j9zBUHWfhn,,,d6f42d1d-a9a6-c13c-f631-67aa00cfd7ff.com.samsung.health.exercise.live_data.json,,1.5760932,com.sec.android.app.shealth,,,,2020-11-14 17:39:15.760,d6f42d1d-a9a6-c13c-f631-67aa00cfd7ff,,
