com.samsung.health.floors_climbed,6211031,5
start_time,custom,update_time,create_time,floor,time_offset,deviceuuid,pkg_name,end_time,datauuid
2022-03-16 05:05:38.910,,2022-03-16 05:10:16.221,2022-03-16 05:10:16.167,2.0,UTC+0700,j9zBUHWfhn,com.sec.android.app.shealth,2022-03-16 05:05:48.912,cefb6bfc-6824-9423-aca1-b784a1613590,
2021-07-14 20:14:16.800,,2021-07-14 20:19:41.845,2021-07-14 20:19:41.803,1.0,UTC-0400,j9zBUHWfhn,com.sec.android.app.shealth,2021-07-14 20:14:30.802,b280ffdb-31d2-8b6a-64fc-a951bc588f64,
2022-03-20 13:43:47.593,,2022-03-20 13:44:21.657,2022-03-20 13:44:21.640,1.0,UTC-0400,j9zBUHWfhn,com.sec.android.app.shealth,2022-03-20 13:44:06.595,347703ad-388f-a027-bf5b-94603423a4f3,
2022-01-20 03:31:36.746,,2022-01-20 03:32:06.809,2022-01-20 03:32:06.782,1.0,UTC-0500,j9zBUHWfhn,com.sec.android.app.shealth,2022-01-20 03:31:51.748,b8a3ed1f-23b3-27f0-78a4-8e710f2f90aa,
2022-03-24 18:40:39.514,,2022-03-24 18:42:29.629,2022-03-24 18:42:29.550,1.0,UTC-0400,j9zBUHWfhn,com.sec.android.app.shealth,2022-03-24 18:40:55.516,c0f315b7-0759-f149-4230-3d84ea732f81,
2020-11-26 02:42:17.166,,2020-11-26 02:43:18.351,2020-11-26 02:43:18.302,1.0,UTC-0500,j9zBUHWfhn,com.sec.android.app.shealth,2020-11-26 02:42:36.167,5896c99d-40c9-b4ab-e75c-a146fdb87343,
2021-10-02 16:09:57.546,,2021-10-02 16:11:57.586,2021-10-02 16:11:57.549,1.0,UTC-0400,j9zBUHWfhn,com.sec.android.app.shealth,2021-10-02 16:10:15.548,10f4925b-2581-6e56-448a-71eaea8922de,
2021-09-06 20:20:45.924,,2021-09-06 20:26:00.614,2021-09-06 20:21:36.950,8.0,UTC-0400,j9zBUHWfhn,com.sec.android.app.shealth,2021-09-06 20:25:59.589,515339d9-1356-0bf6-d185-7d8cf9cb5a18,
2021-03-07 06:54:23.630,,2021-03-07 06:55:41.667,2021-03-07 06:55:41.632,1.0,UTC-0500,j9zBUHWfhn,com.sec.android.app.shealth,2021-03-07 06:54:41.632,7c29891a-5380-ec34-474c-2eed43a80c01,
2021-11-27 00:55:29.567,,2021-11-27 00:56:01.603,2021-11-27 00:56:01.573,1.0,UTC-0500,j9zBUHWfhn,com.sec.android.app.shealth,2021-11-27 00:55:43.569,cf1aca31-aee0-a7eb-5675-ca2aac0e65b6,
2020-11-27 02:11:27.529,,2020-11-27 02:12:08.594,2020-11-27 02:12:08.564,1.0,UTC-0500,j9zBUHWfhn,com.sec.android.app.shealth,2020-11-27 02:11:42.536,127a9354-ddf1-d7a0-c4fc-f8a4238971d7,
2021-11-19 13:50:31.716,,2021-11-19 13:52:19.783,2021-11-19 13:52:19.742,1.0,UTC-0500,j9zBUHWfhn,com.sec.android.app.shealth,2021-11-19 13:50:50.718,b19c52bd-18fe-4e38-671c-fd062db6b055,
2021-07-25 15:28:45.040,,2021-07-25 15:29:52.133,2021-07-25 15:29:52.075,1.0,UTC-0400,j9zBUHWfhn,com.sec.android.app.shealth,2021-07-25 15:29:00.042,d5c80299-7f7d-31a5-4474-830383789d89,
2021-08-23 02:48:07.614,,2021-08-23 02:48:56.682,2021-08-23 02:48:56.641,1.0,UTC-0400,j9zBUHWfhn,com.sec.android.app.shealth,2021-08-23 02:48:22.616,0384a5ef-9616-a9cc-de85-5d835e21dc81,
2021-11-20 15:04:56.285,,2021-11-20 15:09:32.349,2021-11-20 15:09:32.316,1.0,UTC-0500,j9zBUHWfhn,com.sec.android.app.shealth,2021-11-20 15:05:08.288,7354d54b-055f-3baf-47b7-2e52b26a48d7,
2022-02-25 19:00:50.394,,2022-02-25 19:01:49.438,2022-02-25 19:01:49.408,1.0,UTC-0500,j9zBUHWfhn,com.sec.android.app.shealth,2022-02-25 19:01:10.395,87ebfcc9-017e-2535-1789-d23e3c315357,
2021-10-03 22:39:15.220,,2021-10-03 22:39:54.314,2021-10-03 22:39:54.222,1.0,UTC-0400,j9zBUHWfhn,com.sec.android.app.shealth,2021-10-03 22:39:34.222,8b9da304-f9b7-d5e4-4d21-40c696145afe,
2021-05-30 01:40:40.499,,2021-05-30 01:41:24.580,2021-05-30 01:41:24.530,2.0,UTC-0400,j9zBUHWfhn,com.sec.android.app.shealth,2021-05-30 01:41:20.502,36a8075f-3716-2bd4-7461-eb3f2745a161,
2022-01-05 18:04:06.095,,2022-01-05 18:06:56.108,2022-01-05 18:04:25.118,1.0,UTC-0500,j9zBUHWfhn,com.sec.android.app.shealth,2022-01-05 18:04:31.987,22657069-70e1-7128-1672-a9ccdc8e6fcf,
2020-12-13 15:05:15.869,,2020-12-13 15:07:22.963,2020-12-13 15:07:22.907,1.0,UTC-0500,j9zBUHWfhn,com.sec.android.app.shealth,2020-12-13 15:05:32.872,4ef7845e-1784-f0bd-7f3f-7643750f888c,
2022-02-27 22:46:27.170,,2022-02-27 22:46:51.268,2022-02-27 22:46:51.173,1.0,UTC-0500,j9zBUHWfhn,com.sec.android.app.shealth,2022-02-27 22:46:37.172,355bcad6-d3c2-6606-1d7d-23f75fa5b924,
2021-01-02 17:17:37.418,,2021-01-02 17:18:05.498,2021-01-02 17:18:05.462,1.0,UTC-0500,j9zBUHWfhn,com.sec.android.app.shealth,2021-01-02 17:17:52.419,c6816e5d-9cbe-279e-a70f-edd2c39e2dfe,
2021-09-24 13:06:40.777,,2021-09-24 13:08:43.838,2021-09-24 13:08:43.786,1.0,UTC-0400,j9zBUHWfhn,com.sec.android.app.shealth,2021-09-24 13:06:53.784,3f25b545-f6e2-9ce9-0a95-ed2266f71661,
2022-01-06 01:30:20.625,,2022-01-06 01:31:30.759,2022-01-06 01:31:30.701,1.0,UTC-0500,j9zBUHWfhn,com.sec.android.app.shealth,2022-01-06 01:30:34.627,31d40eac-3128-191d-4c62-8fac8db398de,
2022-03-01 00:26:58.330,,2022-03-01 00:30:05.520,2022-03-01 00:30:05.472,1.0,UTC-0500,j9zBUHWfhn,com.sec.android.app.shealth,2022-03-01 00:27:14.348,33068a60-1e25-49e4-1db9-a30536d74e3c,
2021-09-24 02:34:06.668,,2021-09-24 02:34:59.449,2021-09-24 02:34:33.674,1.0,UTC-0400,j9zBUHWfhn,com.sec.android.app.shealth,2021-09-24 02:34:35.430,26582f44-97cf-2098-4572-f0169a29bd22,
