com.samsung.shealth.tracker.heart_rate,6211031,3
source,tag_id,com.samsung.health.heart_rate.heart_beat_count,com.samsung.health.heart_rate.start_time,com.samsung.health.heart_rate.custom,com.samsung.health.heart_rate.binning_data,com.samsung.health.heart_rate.update_time,com.samsung.health.heart_rate.create_time,com.samsung.health.heart_rate.max,com.samsung.health.heart_rate.min,com.samsung.health.heart_rate.time_offset,com.samsung.health.heart_rate.deviceuuid,com.samsung.health.heart_rate.comment,com.samsung.health.heart_rate.pkg_name,com.samsung.health.heart_rate.end_time,com.samsung.health.heart_rate.datauuid,com.samsung.health.heart_rate.heart_rate
,21312,1,2022-03-01 20:40:29.361,,,2022-03-01 20:49:09.334,2022-03-01 20:49:09.334,0.0,0.0,UTC-0500,j9zBUHWfhn,,com.sec.android.app.shealth,2022-03-01 20:40:29.361,7955a97b-1f5c-14b5-88ea-e32843bc174b,63.0,
,21312,1,2022-03-02 02:50:41.560,,,2022-03-02 02:51:13.323,2022-03-02 02:51:13.323,0.0,0.0,UTC-0500,j9zBUHWfhn,,com.sec.android.app.shealth,2022-03-02 02:50:41.560,dcd3efaa-638d-b33e-0265-919c309831de,80.0,
,21312,1,2022-03-01 19:20:29.360,,,2022-03-01 19:22:16.280,2022-03-01 19:22:16.280,0.0,0.0,UTC-0500,j9zBUHWfhn,,com.sec.android.app.shealth,2022-03-01 19:20:29.360,97df63ef-8721-91b7-6dea-f01cf044030f,73.0,
,21312,1,2022-03-02 11:40:59.581,,,2022-03-02 11:54:37.254,2022-03-02 11:54:37.254,0.0,0.0,UTC+0900,j9zBUHWfhn,,com.sec.android.app.shealth,2022-03-02 11:40:59.581,1cb00b05-0eb5-403f-fc0b-b8e0c4576d2d,61.0,
,21312,1,2022-03-02 01:30:47.420,,,2022-03-02 01:35:11.298,2022-03-02 01:35:11.298,0.0,0.0,UTC-0500,j9zBUHWfhn,,com.sec.android.app.shealth,2022-03-02 01:30:47.420,43905b4b-8da5-8ee6-ce61-99d21fa9a895,63.0,
,21312,1,2022-03-03 02:11:00.741,,,2022-03-03 02:11:16.615,2022-03-03 02:11:16.615,0.0,0.0,UTC+0700,j9zBUHWfhn,,com.sec.android.app.shealth,2022-03-03 02:11:00.741,a7014af3-0c1f-b284-cab7-e38113ad93ac,73.0,
,21312,1,2022-03-03 11:50:46.441,,,2022-03-03 11:55:09.533,2022-03-03 11:55:09.533,0.0,0.0,UTC+0700,j9zBUHWfhn,,com.sec.android.app.shealth,2022-03-03 11:50:46.441,fbc3c005-35ad-73f4-edcf-e9caadef86b6,74.0,
,21312,1,2022-03-02 10:40:59.560,,,2022-03-02 10:55:04.284,2022-03-02 10:55:04.284,0.0,0.0,UTC+0900,j9zBUHWfhn,,com.sec.android.app.shealth,2022-03-02 10:40:59.560,94146de9-8822-a845-11e7-bdaf7717b462,61.0,
,21312,1,2022-03-04 07:00:50.060,,,2022-03-04 07:15:10.334,2022-03-04 07:15:10.334,0.0,0.0,UTC+0700,j9zBUHWfhn,,com.sec.android.app.shealth,2022-03-04 07:00:50.060,0a4375ff-53b9-179b-cdc9-2366e24c0d3c,63.0,
,21312,1,2022-03-05 02:30:41.141,,,2022-03-05 02:35:05.279,2022-03-05 02:35:05.279,0.0,0.0,UTC+0700,j9zBUHWfhn,,com.sec.android.app.shealth,2022-03-05 02:30:41.141,91dd49ee-92e7-b363-32e0-c3c75c8e234f,76.0,
,21312,1,2022-03-03 01:50:29.381,,,2022-03-03 01:50:48.347,2022-03-03 01:50:48.347,0.0,0.0,UTC+0700,j9zBUHWfhn,,com.sec.android.app.shealth,2022-03-03 01:50:29.381,cef2e2ae-5d83-c138-eebc-46dcf298e1bd,69.0,
,21312,1,2022-03-05 10:10:29.381,,,2022-03-05 10:15:08.488,2022-03-05 10:15:08.488,0.0,0.0,UTC+0700,j9zBUHWfhn,,com.sec.android.app.shealth,2022-03-05 10:10:29.381,ad84e884-2f9a-a4f2-b141-5bea2e444b7b,63.0,
,21312,1,2022-03-06 10:41:08.181,,,2022-03-06 10:44:26.488,2022-03-06 10:44:26.488,0.0,0.0,UTC+0700,j9zBUHWfhn,,com.sec.android.app.shealth,2022-03-06 10:41:08.181,8a72c156-1b79-f5ed-ed4a-8b10709a9b99,89.0,
,21312,1,2022-03-03 10:52:30.321,,,2022-03-03 10:55:03.335,2022-03-03 10:55:03.335,0.0,0.0,UTC+0700,j9zBUHWfhn,,com.sec.android.app.shealth,2022-03-03 10:52:30.321,d14f179d-ebf0-0020-10d3-17ea42e3590f,69.0,
,21312,1,2022-03-07 02:20:29.360,,,2022-03-07 02:25:34.379,2022-03-07 02:25:34.379,0.0,0.0,UTC+0700,j9zBUHWfhn,,com.sec.android.app.shealth,2022-03-07 02:20:29.360,a6301660-fcfd-e725-f5eb-81594cf2e783,64.0,
,21312,1,2022-03-07 09:20:29.340,,,2022-03-07 09:32:02.447,2022-03-07 09:32:02.447,0.0,0.0,UTC+0700,j9zBUHWfhn,,com.sec.android.app.shealth,2022-03-07 09:20:29.340,128c3920-7e71-7788-d8a7-e406723f1472,61.0,
,21312,1,2022-03-04 06:30:58.741,,,2022-03-04 06:33:00.698,2022-03-04 06:33:00.698,0.0,0.0,UTC+0700,j9zBUHWfhn,,com.sec.android.app.shealth,2022-03-04 06:30:58.741,015ad7fd-00b7-5c63-b139-02da8ad82463,73.0,
,21312,1,2022-03-08 07:10:54.841,,,2022-03-08 07:11:30.318,2022-03-08 07:11:30.318,0.0,0.0,UTC+0700,j9zBUHWfhn,,com.sec.android.app.shealth,2022-03-08 07:10:54.841,cbe91a21-3142-b5f7-fb15-76276c9e4de0,69.0,
,21312,1,2022-03-09 04:30:50.301,,,2022-03-09 04:31:02.326,2022-03-09 04:31:02.326,0.0,0.0,UTC+0700,j9zBUHWfhn,,com.sec.android.app.shealth,2022-03-09 04:30:50.301,6b18d26b-6a9c-0e98-66c2-5afe97566940,68.0,
,21312,1,2022-03-04 14:00:29.321,,,2022-03-04 14:15:25.628,2022-03-04 14:15:25.628,0.0,0.0,UTC+0700,j9zBUHWfhn,,com.sec.android.app.shealth,2022-03-04 14:00:29.321,ac5c9b8e-2942-b500-7ebe-0f4d956230b8,74.0,
,21312,1,2022-03-09 14:10:51.800,,,2022-03-09 14:15:07.853,2022-03-09 14:15:07.853,0.0,0.0,UTC+0700,j9zBUHWfhn,,com.sec.android.app.shealth,2022-03-09 14:10:51.800,3faa6360-a83f-8cdd-d943-7f7f2f5825bb,57.0,
,21312,1,2022-03-05 09:50:50.361,,,2022-03-05 09:53:15.356,2022-03-05 09:53:15.356,0.0,0.0,UTC+0700,j9zBUHWfhn,,com.sec.android.app.shealth,2022-03-05 09:50:50.361,cd47e403-7e4e-e8e3-7339-ebff97fe0609,70.0,
,21312,1,2022-02-24 18:50:55.840,,,2022-02-24 18:55:10.314,2022-02-24 18:55:10.314,0.0,0.0,UTC-0500,j9zBUHWfhn,,com.sec.android.app.shealth,2022-02-24 18:50:55.840,79f0265a-1d6f-0b37-0c25-c5d9233ef19d,84.0,
,21312,1,2022-02-25 00:50:52.081,,,2022-02-25 00:52:07.701,2022-02-25 00:52:07.701,0.0,0.0,UTC-0500,j9zBUHWfhn,,com.sec.android.app.shealth,2022-02-25 00:50:52.081,22971110-7b18-bc27-bc16-73270ade9b4f,68.0,
